Date,ALI=F,CL=F,COPX,DX-Y.NYB,GC=F,HG=F,ITA,PICK,PRNT,SPY,VIS,XAR,XLB,XLI,XME,^VIX
2025-01-23,2634.5,74.62000274658203,38.33481216430664,108.05000305175781,2763.10009765625,4.299499988555908,157.39796447753906,34.9111328125,21.651039123535156,601.03125,270.3725891113281,179.86398315429688,43.55015182495117,139.3580322265625,60.47391891479492,15.020000457763672
2025-01-24,2657.75,74.66000366210938,38.81095886230469,107.44000244140625,2777.300048828125,4.289999961853027,155.63035583496094,35.104331970214844,22.00825309753418,599.2766723632812,268.7542419433594,178.04318237304688,43.437896728515625,138.767822265625,60.35457992553711,14.850000381469727
2025-01-27,2602.75,73.16999816894531,37.99470138549805,107.33999633789062,2737.5,4.203499794006348,153.9421844482422,34.602012634277344,21.909027099609375,590.7996826171875,264.17547607421875,174.0233917236328,43.46229934692383,136.90866088867188,58.35569381713867,17.899999618530273
2025-01-28,2563.0,73.7699966430664,36.91608428955078,107.87000274658203,2766.800048828125,4.2204999923706055,153.85279846191406,34.14799118041992,22.15709114074707,595.8761596679688,262.4486083984375,173.3070068359375,43.32075881958008,136.00367736816406,58.56453323364258,16.40999984741211
2025-01-29,2612.25,72.62000274658203,37.45053482055664,108.0,2769.10009765625,4.257500171661377,152.88954162597656,34.31221389770508,21.918949127197266,593.2048950195312,261.86639404296875,171.76478576660156,43.2426643371582,135.54132080078125,59.39988708496094,16.559999465942383
2025-01-30,2618.75,72.7300033569336,37.984989166259766,107.80000305175781,2823.0,4.288000106811523,156.1268768310547,34.79521560668945,22.137245178222656,596.3886108398438,265.0635986328125,174.56068420410156,43.652645111083984,137.05621337890625,59.747955322265625,15.84000015258789
2025-01-31,2586.0,72.52999877929688,37.100711822509766,108.37000274658203,2812.5,4.26200008392334,155.4913330078125,34.263916015625,21.85941505432129,593.214599609375,262.9419860839844,174.5806121826172,43.33540344238281,136.0922088623047,58.97226333618164,16.43000030517578
2025-02-03,2617.0,73.16000366210938,36.95494842529297,108.98999786376953,2833.89990234375,4.294000148773193,155.69985961914062,34.01275634765625,21.87925910949707,589.2225341796875,260.5638122558594,173.9935302734375,43.37932586669922,134.7445526123047,58.50486755371094,18.6200008392334
2025-02-04,2631.0,72.69999694824219,38.14046859741211,107.95999908447266,2853.300048828125,4.34250020980835,154.74655151367188,34.77589416503906,22.752445220947266,593.1752319335938,260.435546875,173.87416076660156,43.5062255859375,134.78390502929688,60.09601974487305,17.209999084472656
2025-02-05,2601.5,71.02999877929688,38.50000762939453,107.58000183105469,2871.60009765625,4.434500217437744,156.2261962890625,34.98841094970703,23.018369674682617,595.580322265625,261.2151184082031,174.9387969970703,43.4720573425293,134.88226318359375,60.64297866821289,15.770000457763672
